W,M
statue,"n. 동상, 조각상"
stable,"a. 안정적인"
establish,"v. 설립하다, ~을 확립하다"
rectify,"v. 바로잡다, 수정하다"
rectangle,"n. 직사각형"
correct,"v. 정정하다, 바로잡다; 올바른"
erect,"v. (똑바로) 세우다, 똑바로 선"
gender,"n. 성(性), 성별"
indigenous,"a. 토착의, 고유의"
gene,"n. 유전자"
genetics,"n. 유전학"
generate,"v. 발생시키다, 일으키다"
regenerate,"v. 재건하다, 재생시키다"
degenerate,"v. 퇴보하다, 악화되다; 퇴보한, 타락한"
define,"v. 정의하다, 분명히 하다"
confine,"v. 한정하다, 제한하다, 감금하다"
infinite,"a. 무한한, 끝없는"
finale,"n. 대단원, 피날레"
definite,"a. 1. 한정된 2. 명확한, 확실한"
finalize,"v. 마무리짓다, 완성하다"
compassion,"n. 연민, 동정심"
pathetic,"a. 불쌍한, 애처로운"
sympathy,"n. 동정심, 공감"
passion,"n. 열정"
antipathy,"n. 반감"
empathy,"n. 감정 이입, 공감"
coral,"n. 산호"
twig,"n. 작은 가지"
symmetry,"n. (좌우의) 대칭, 균형"
gull,"n. 갈매기"
frost,"n. 서리, 성에"
parachute,"n. 낙하산"
radiate,"v. (빛, 열 등을) 방사하다, 방출하다"
punctual,"a. 시간을 엄수하는"
myth,"n. 신화, (근거 없는) 이야기"
conserve,"v. 1. 보존하다, 보호하다 2. 아끼다, 절약하다"
tangle,"v. 얽히다, 얽힘"
converter,"n. 변환시키는 것(사람)"
contagion,"n. 전염병, 전염"
bamboo,"n. 대나무; 대나무의"
attic,"n. 다락(방)"
fertile,"a. 비옥한, 다산의"
hostage,"n. 인질"
obscure,"a. 분명치 않은, 모호한"
vein,"n. 정맥, (식물의) 잎맥"
artery,"n. 동맥"
immense,"a. 엄청난, 막대한"
cynic,"n. 냉소적인 사람, 비꼬는 사람"
predator,"n. 포식자, 포식동물"
plumber,"n. 배관공"
thigh,"n. 허벅지"
sewage,"n. 하수, 오물"
oval,"a. 타원형의"
curly,"a. 곱슬곱슬한"
constitution,"n. 헌법"
constitution,"n. 구성, 형성"
shovel,"n. 삽; 삽질하다"
omit,"v. 1. 생략하다, 빼다 2. ~을 빠뜨리다"
preach,"v. 설교하다, 전도하다"
shave,"v. 면도하다"
mustache,"n. 콧수염"
beard,"n. 턱수염"
skeleton,"n. 해골, 뼈대"
realm,"n. 영역, 왕국"
dwell,"v. 살다, 거주하다"
dwell,"v. ~을 곰곰이 생각하다 (on)"
era,"n. 시대, 시기"
contemplate,"v. 심사숙고하다"
flock,"n. 떼, 무리, 떼 지어 모이다"
radical,"a. 급진적인, 근본적인"
aspire,"v. 열망하다"
scatter,"v. 흩뿌리다, 흩어지다"
wrinkle,"n. 주름"
afflict,"v. 괴롭히다"
optimist,"n. 낙관론자, 낙천주의자"
pessimist,"n. 비관주의자"
orchard,"n. 과수원"
acid,"a. 신, 산성의; 산"
riddle,"n. 수수께끼"
botany,"n. 식물학"
trim,"v. 다듬다, 손질하다"
comet,"n. 혜성"
hindrance,"n. 방해, 장애물"
texture,"n. 감촉, 질감"
peculiar,"a. 기묘한, 독특한"
queer,"a. 기묘한, 괴상한"
