W,M
utmost,"a. 최대의, 최고의; 최대한도"
receipt,"n. 받기, 수령, 영수증"
handful,"n. (한) 줌, 소량"
option,"n. 선택권, 선택사항"
balance,"n. 1. 균형 2. 잔액, 잔금"
incident,"n. 사건, 일"
upright,"n. 1. 똑바른, 수직의 2. 올바른, 정직한"
safeguard,"v. 보호하다, 보호장치, 안전장치"
humanitarian,"a. 인도주의적인"
monetary,"a. 화폐의, 금전상의"
forthcoming,"a. 다가오는, 곧 있을"
semester,"n. 한 학기"
hum,"v. 흥얼거리다, 윙윙거리다"
hummingbird,"n. 벌새"
somehow,"ad. 어떻게든지 해서, 어쩐지"
somewhat,"ad. 어느 정도, 다소"
meantime,"n. 그동안, 그 사이에"
meanwhile,"ad. 그러는 동안에, 한편"
comparable,"a. 비교할 만한, 필적하는, 비슷한,"
comparative,"a. 비교의, 비교적인"
workforce,"n. 전 종업원, 노동 인구"
accelerate,"v. 가속하다, 가속화되다"
decisive,"a. 결정적인, 결단력 있는"
systematic,"a. 체계적인, 유기적인"
energetic,"a. 에너지가 넘치는, 기운찬"
cleanse,"v. 깨끗이 하다, 닦다"
whereas,"conj. 그에 반하여, 반면에"
fusion,"n. 융합, 결합, 퓨전 (음악, 음식)"
bounce,"v. (공 따위가) 튀다, (사람이) 펄쩍 뛰다"
breakthrough,"n. 돌파구"
nonsense,"n. 터무니없는 말, 허튼 소리"
stroke,"n. 치기, 타격"
talkative,"a. 수다스러운, 말이 많은"
invade,"v. 침략하다, 침입하다"
insect,"n. 벌레, 곤충"
intake,"n. 섭취, 받아들임"
instruct,"v. 가르치다, 지시하다"
internal,"a. 내부의"
instrument,"n. 1. 기계, 기구 2. 악기"
install,"v. (장비․장치 등을) 설치하다"
infancy,"n. 유아기, (발달의) 초창기"
insert,"v. 삽입하다, 끼워넣다"
ingredient,"n. 성분, 재료"
intimate,"a. 친밀한, 친숙한"
insult,"n. 모욕, 모욕하다"
infect,"v. 감염시키다, 전염시키다"
involve,"v. 포함시키다, (사건 등에) 연루시키다"
incline,"v. ~하고 싶다, ~의 경향이 생기게 하다"
intensive,"a. 집중적인, 철저한"
indifferent,"a. 무관심한"
insist,"v. 주장하다, 고집하다"
persist,"v. 고집하다, 지속하다"
insight,"n. 통찰력"
incurable,"a. 치료할 수 없는"
indoors,"ad. 실내에서, 실내로"
inactive,"a. 비활동적인"
independence,"n. 독립, 자주"
infamous,"a. 악명 높은"
intact,"a. 손대지 않은, 손상되지 않은"
multiply,"v. 증가시키다, 번식하다, 곱하다"
multiple,"a. 많은, 다수의, 다양한"
multitude,"n. 다수, 군중"
refute,"v. 반박하다"
restore,"v. 회복시키다, 복구하다"
relieve,"v. 구제하다, (고통 등을) 덜어주다"
retain,"v. 보유하다, 계속 유지하다"
remarkable,"a. 주목할 만한, 놀라운"
resign,"v. 사직하다, 사임하다"
recycle,"v. 재활용하다"
reflect,"v. 1. 반사하다 2. 반영하다 3. 숙고하다"
reply,"v. 대답하다, 답장하다, 대답, 답장"
reserve,"v. 1. 예약하다 2. 따로 남겨 두다"
rely,"v. 의지하다, 믿다"
restrict,"v. 제한하다, 금지하다"
restrain,"v. 제지하다, 억누르다"
reverse,"a. 반대의, 반대, 반대로 하다"
replace,"v. 1. ~에 대신하다, 대체하다 2. 다시 놓다, 제자리에 놓다"
reconcile,"v. 화해시키다, 조화시키다"
recall,"v. 1. 상기시키다, 생각나게 하다 2. 리콜(결함 있는 물건의 회수), 회수하다"
retreat,"v. 후퇴하다, 후퇴"
reveal,"v. 밝히다, 폭로하다"
renew,"v. 갱신하다, 다시 시작하다"
rebuild,"v. 다시 짓다, 재건하다"
refresh,"v. 상쾌하게 하다, 새롭게 하다"
refund,"n. 환불; 환불하다"
relevant,"a. 관계있는, 적절한"
irrelevant,"a. 관계없는, 부적절한"
resistance,"n. 저항, 반대, 레지스탕스"
irresistible,"a. 저항할 수 없는, (유혹, 욕구 등에) 억누를 수 없는"
irregular,"a. 불규칙한"
