W,M
lecture,"강의[강연](하다), 훈계(하다)"
lecturer,"강연자, (대학 등의) 강사"
legend,"전설, 전설적인 인물, 범례, 기호 일람표"
legendary,"전설의, 전설적인, 유명한"
descend,"내려가다, 내리막이다, (어둠, 침묵 등이) 내려앉다, 유래하다, (...로) 전락하다"
descent,"하강, 저하, 전락, 내리막(길), 혈통, 가계"
descendant,"자손, 후예"
scale,"규모, 정도, 계급, 등급, (지도 등의) 축척, 비율, 저울, 천칭"
escalate,"(분쟁, 상황 등이[을]) 악화되다[악화시키다], (가격, 비용 등이[을]) 상승하다[상승시키다]"
escalator,에스컬레이터
literal,"(의미 등이) 글자 그대로의, (번역 등이) 원문에 충실한"
literally,글자 그대로
literate,읽고 쓸 줄 아는
literacy,읽고 쓰는 능력
literature,"문학, 문헌"
literary,"문학의, 문예의"
vow,맹세(하다)
vote,"투표, 표, 투표권, 투표수, 득표수, 투표하다, 의결하다"
voter,"유권자, 투표자"
devote,"헌신하다, (돈, 시간, 노력 등을) 바치다, 전념하다"
devoted,"헌신적인, 전념하는"
devotion,"헌신, 전념, 기도, 신앙"
devotional,"종교적인, 종교 의식에 관련된"
bandage,붕대(를 감다)
bond,"결속, 유대, 채권, 접착제, 본드, 굴레, 속박, 유대를 맺다, 접착시키다"
bundle,"다발, 꾸러미"
bind,"묶다, (사람, 국가 등을) 결속시키다, (약속, 의무 등으로) 속박[제한]하다, ...하게 하다, (책, 원고 등을) 제본하다"
bound,"...할 것 같은, ...할 의무가 있는, ...로 향하는"
sacred,"신성한, 종교적인"
sacrifice,"희생(하다), 제물(로 바치다)"
saint,"성인(聖人), 성자"
private,"개인적인, 사적인, 사유의, 비밀의"
privately,"남몰래, 은밀히, 개인으로서"
privacy,"사생활, (남의 간섭, 눈길 없이) 혼자 있는 상태"
deprive,"빼앗다, 박탈하다"
deprivation,"박탈, 결핍"
charity,"자선, 자선 단체, 관대함"
charitable,"자선의, 자선을 베푸는"
cherish,"소중히 여기다(기르다), 아끼다"
abundant,"풍부한, 많은"
abound,"풍부하다, 많이 있다"
abundance,"풍부, 다량, 다수"
surround,"둘러싸다, 에워싸다, 포위하다"
surrounding,"주변의, 주위의, 부근의"
surroundings,"(사람, 사물을 둘러싸는) 환경"
victory,승리
victor,승리자
victorious,"승리의, (이겨서) 의기양양한"
convict,"(...에게) 유죄를 선고[입증]하다, 죄수, 수형자"
conviction,"유죄 판결, 확신, 신념"
convince,"확신[납득]시키다, 설득하다"
convincing,"설득력 있는, 확실한"
province,"(행정 단위인) 주(州), 도(道), (수도 외의) 지방, (특정 관심, 지식) 분야"
provincial,"주(州)[도(道)]의, 지방의, 편협한"
temporary,"일시적인, 임시의"
temporarily,"일시적으로, 임시로"
contemporary,"현대의, 당대의, (...와) 동시대의, 같은 시기의, 같은 시대의 사람"
miracle,"기적, 놀라운 일"
miraculous,"기적의, 기적 같은"
admire,"존경하다, 찬양하다, (감탄하며) 바라보다"
admirable,"존경[칭찬]받을 만한, 훌륭한"
admiration,"존경, 찬양, 감탄"
marvelous(marvellous),"(매우) 훌륭한, 재미있는, 흥미로운"
marvel,"경이, 놀라운 일, 불가사의, ...에 놀라다, 경탄하다"
marvelously,"놀라울 만큼, 불가사의하게"
announce,"(공식적으로) 발표하다, 알리다"
announcement,"발표, 공표, 알림, 공고, 고지"
announcer,"방송 진행자, 아나운서"
pronounce,"발음하다, 선언하다, 선고하다"
pronunciation,발음(법)
pronouncement,"(공식적인) 선언, 공고"
numeral,"숫자를 나타내는, 숫자"
numerical,"수와 관련된, 숫자로 나타낸"
numerous,"많은, 다수의"
numerously,"많이, 수없이"
innumerable,셀 수 없이 많은
illusion,"(사람, 상황에 대한) 착각, 오해, 환영, 환각"
illusionary,"환영의, 착각의"
illusionist,마술사
illusive,(실제처럼 보이지만) 환영인
delusion,"(스스로의) 망상, 착각"
delusional,망상의
delusive,"기만적인, 현혹하는"
delude,"속이다, 착각하게 만들다"
mutual,"상호간의, 서로의, 공통의"
mutually,"서로, 상호간에, 공통으로"
commute,"(정기적으로) 통근하다, 통근[통학] (시간)"
mutation,"변화, 변형, (생물) 돌연변이"
corporate,"회사의, 법인의, 단체의, 공동의"
corporation,"(사단) 법인, 기업, 유한[주식] 회사, 단체, 지방 자치 단체"
incorporate,"법인으로 만들다, 포함하다, 합병하다"
incorporation,"법인, 회사, (회사) 설립, 합병, 결합"
corps,"군단, 단(團), (특정 일, 활동을 하는) 단체"
commerce,"상업, 무역"
commercial,"상업(상)의, 무역의, (음반, 영화 등이) 영리적인, 상업적인, 상업 광고"
commercialize,상업화하다
merchant,"상인, 무역상"
merchandise,"제품, 상품, (광고하여) 판매하다"
mercy,"자비, 관용"
merciful,"(남에게) 자비로운, 인정 많은"
merciless,"무자비한, 잔인한"
voluntary,"자발적인, 자원봉사의, 무상으로 일하는"
voluntarily,자발적으로
involuntary,"자기도 모르게 하는, 원치 않는"
volunteer,"지원자, 지원병, 자원봉사자, 자진하여 하다, 자원봉사로 하다, 지원병이 되다"
philosophy,철학
philosopher,철학자
philosophical,"철학의, 철학에 관련된"
sophomore,"(대학, 고교의) 2학년생"
sophisticated,"세련된, 교양 있는, 경험 많은, 숙련된, (기계, 기술 등이) 정교한, 복잡한"
sophistication,"세련됨, (지적) 교양, (기계 등의) 정교화"
altitude,"고도, 높이, 해발"
abolish,"(법률, 제도, 관습 등을) 폐지하다, 없애다"
abolition,"(법률, 제도 등의) 폐지"
adolescent,"청소년(의), 청년(의)"
adolescence,"청소년기, 사춘기"
anguish,"극심한 고통, 고뇌, 비통"
anxious,"걱정하는, 불안해하는, 갈망[열망]하는"
anxiety,"걱정, 불안, 갈망, 열망"
fare,"(교통 기관의) 요금, 운임"
farewell,"작별 (인사), 작별의, 이별의, 송별의, (작별하는 인사말) 잘 가요."
welfare,"(건강, 안전 등을 포함한) 행복, 번영, 복지, 복리후생"
defend,"방어하다, 옹호하다, 변호[변론]하다"
defendant,피고인
defense(defence),"방어, 옹호, 변호, 변론"
defenseless,"무방비의, 방어할 수 없는"
defensive,"방어(용)의, 방어적인"
fence,"울타리, (경마 등에서의) 장애물, ...에 울타리를 치다, 펜싱을 하다"
offend,"화나게 하다, 불쾌감을 주다, 위반하다, 죄를 범하다"
